  15.9949 2.8005e+05 2.1724e+05 3.7017e+05 2.2114e+05 3.6735e+05 2.6531e+05 2.9565e+05 2.6399e+05 2.9609e+05
  16.1224 2.7168e+05 2.1093e+05 3.5875e+05 2.1469e+05 3.5603e+05 2.5749e+05 2.8671e+05 2.5616e+05 2.8720e+05
  16.2500 2.6361e+05 2.0483e+05 3.4774e+05 2.0845e+05 3.4511e+05 2.4993e+05 2.7808e+05 2.4859e+05 2.7862e+05
  16.3776 2.5581e+05 1.9893e+05 3.3711e+05 2.0242e+05 3.3458e+05 2.4262e+05 2.6975e+05 2.4128e+05 2.7033e+05
  16.5051 2.4827e+05 1.9323e+05 3.2686e+05 1.9659e+05 3.2442e+05 2.3557e+05 2.6171e+05 2.3422e+05 2.6232e+05
  16.6327 2.4099e+05 1.8772e+05 3.1696e+05 1.9096e+05 3.1460e+05 2.2874e+05 2.5394e+05 2.2739e+05 2.5459e+05
  16.7602 2.3396e+05 1.8238e+05 3.0741e+05 1.8551e+05 3.0514e+05 2.2215e+05 2.4643e+05 2.2079e+05 2.4712e+05
  16.8878 2.2716e+05 1.7723e+05 2.9819e+05 1.8024e+05 2.9599e+05 2.1577e+05 2.3919e+05 2.1441e+05 2.3991e+05
  17.0153 2.2059e+05 1.7224e+05 2.8928e+05 1.7515e+05 2.8717e+05 2.0960e+05 2.3218e+05 2.0825e+05 2.3293e+05
  17.1429 2.1424e+05 1.6741e+05 2.8069e+05 1.7022e+05 2.7864e+05 2.0364e+05 2.2542e+05 2.0229e+05 2.2619e+05
  17.2704 2.0810e+05 1.6274e+05 2.7238e+05 1.6545e+05 2.7041e+05 1.9787e+05 2.1888e+05 1.9652e+05 2.1968e+05
  17.3980 2.0216e+05 1.5822e+05 2.6436e+05 1.6084e+05 2.6245e+05 1.9229e+05 2.1256e+05 1.9094e+05 2.1338e+05
  17.5255 1.9642e+05 1.5385e+05 2.5661e+05 1.5638e+05 2.5477e+05 1.8689e+05 2.0645e+05 1.8555e+05 2.0729e+05
  17.6531 1.9086e+05 1.4961e+05 2.4913e+05 1.5206e+05 2.4734e+05 1.8167e+05 2.0054e+05 1.8033e+05 2.0140e+05
  17.7806 1.8549e+05 1.4552e+05 2.4189e+05 1.4788e+05 2.4016e+05 1.7661e+05 1.9483e+05 1.7528e+05 1.9570e+05
  17.9082 1.8029e+05 1.4155e+05 2.3489e+05 1.4383e+05 2.3323e+05 1.7172e+05 1.8930e+05 1.7040e+05 1.9019e+05
  18.0357 1.7526e+05 1.3770e+05 2.2813e+05 1.3991e+05 2.2652e+05 1.6698e+05 1.8396e+05 1.6567e+05 1.8486e+05
  18.1633 1.7040e+05 1.3398e+05 2.2159e+05 1.3611e+05 2.2004e+05 1.6240e+05 1.7879e+05 1.6109e+05 1.7971e+05
  18.2908 1.6568e+05 1.3038e+05 2.1527e+05 1.3244e+05 2.1376e+05 1.5796e+05 1.7379e+05 1.5666e+05 1.7471e+05
